,player_id,player,year,team_id,draft_pick,height_no_shoes,height_with_shoes,wingspan,standing_reach,vertical_max,vertical_max_reach,vertical_no_step,vertical_no_step_reach,weight,body_fat,hand_length,hand_width,bench,agility,sprint,season
49,202697,Iman Shumpert,2011,1610612745,17.0,76.25,77.5,81.5,99.5,42.0,141.5,36.5,136.0,222.0,6.5,9.0,9.0,18.0,11.1,3.18,2018
50,202697,Iman Shumpert,2011,1610612758,17.0,76.25,77.5,81.5,99.5,42.0,141.5,36.5,136.0,222.0,6.5,9.0,9.0,18.0,11.1,3.18,2018
51,202699,Tobias Harris,2011,1610612755,19.0,78.5,79.75,83.0,103.5,37.5,141.0,31.5,135.0,223.0,8.4,8.75,9.0,12.0,10.96,3.17,2018
52,202699,Tobias Harris,2011,1610612746,19.0,78.5,79.75,83.0,103.5,37.5,141.0,31.5,135.0,223.0,8.4,8.75,9.0,12.0,10.96,3.17,2018
53,202702,Kenneth Faried,2011,1610612745,22.0,78.0,79.5,84.0,108.0,35.0,143.0,30.5,138.5,225.0,6.3,8.5,10.25,16.0,11.35,3.26,2018
54,202702,Kenneth Faried,2011,1610612751,22.0,78.0,79.5,84.0,108.0,35.0,143.0,30.5,138.5,225.0,6.3,8.5,10.25,16.0,11.35,3.26,2018
55,202709,Cory Joseph,2011,1610612754,29.0,74.0,75.25,77.5,99.0,35.0,134.0,27.5,126.5,186.0,9.7,8.5,10.5,5.0,10.75,3.27,2018
56,202683,Enes Kanter,2011,1610612757,3.0,81.75,83.25,85.5,109.5,32.5,142.0,26.0,135.5,259.0,5.9,9.5,10.75,14.0,11.3,3.26,2018
57,202683,Enes Kanter,2011,1610612752,3.0,81.75,83.25,85.5,109.5,32.5,142.0,26.0,135.5,259.0,5.9,9.5,10.75,14.0,11.3,3.26,2018
58,202710,Jimmy Butler,2011,1610612755,30.0,78.0,79.75,79.5,101.5,39.0,140.5,32.0,133.5,222.0,5.4,9.0,9.0,14.0,11.92,3.15,2018
59,202710,Jimmy Butler,2011,1610612750,30.0,78.0,79.75,79.5,101.5,39.0,140.5,32.0,133.5,222.0,5.4,9.0,9.0,14.0,11.92,3.15,2018
60,202714,Shelvin Mack,2011,1610612766,34.0,73.0,74.5,79.5,96.5,39.0,135.5,32.0,128.5,209.0,7.1,8.25,9.25,17.0,11.23,3.18,2018
61,202714,Shelvin Mack,2011,1610612763,34.0,73.0,74.5,79.5,96.5,39.0,135.5,32.0,128.5,209.0,7.1,8.25,9.25,17.0,11.23,3.18,2018
62,202718,Chandler Parsons,2011,1610612763,38.0,80.75,81.75,81.5,104.5,31.5,136.0,25.5,130.0,221.0,7.0,8.25,10.0,4.0,11.05,3.29,2018
63,202684,Tristan Thompson,2011,1610612739,4.0,79.5,80.75,85.25,108.5,35.0,143.5,30.0,138.5,227.0,6.2,8.75,9.25,9.0,10.92,3.26,2018
64,202720,Jon Leuer,2011,1610612765,40.0,82.0,83.5,84.0,105.5,36.5,142.0,29.5,135.0,223.0,5.4,8.75,9.75,17.0,10.82,3.36,2018
65,202721,Darius Morris,2011,1610612740,41.0,75.25,77.25,79.5,102.0,32.0,134.0,24.5,126.5,190.0,5.3,8.75,10.0,12.0,11.0,3.2,2018
66,202732,DeAndre Liggins,2011,1610612748,53.0,77.0,78.25,83.0,103.5,31.0,134.5,27.0,130.5,202.0,5.0,8.75,10.0,6.0,,3.33,2018
67,202734,E'Twaun Moore,2011,1610612740,55.0,74.5,76.0,81.5,99.5,34.5,134.0,32.0,131.5,191.0,7.6,9.0,10.0,,11.12,3.31,2018
68,202738,Isaiah Thomas,2011,1610612743,60.0,68.75,70.25,73.75,91.5,40.0,131.5,31.5,123.0,186.0,6.7,8.25,9.0,13.0,10.49,3.14,2018
69,202688,Brandon Knight,2011,1610612739,8.0,73.5,75.25,78.75,98.5,37.5,136.0,29.0,127.5,177.0,4.2,8.25,9.5,10.0,10.74,3.07,2018
70,202688,Brandon Knight,2011,1610612745,8.0,73.5,75.25,78.75,98.5,37.5,136.0,29.0,127.5,177.0,4.2,8.25,9.5,10.0,10.74,3.07,2018
71,202689,Kemba Walker,2011,1610612766,9.0,71.5,73.0,75.5,91.5,39.5,131.0,32.0,123.5,184.0,5.9,8.0,9.0,7.0,10.87,3.16,2018
72,203816,Scotty Hopson,2011,1610612760,,77.75,78.5,82.5,103.5,36.0,139.5,32.5,136.0,205.0,4.8,8.5,10.0,10.0,10.47,3.18,2018
73,203076,Anthony Davis,2012,1610612740,1.0,81.25,82.5,89.5,108.0,,,,,222.0,7.9,9.0,8.5,,,,2018
74,203085,Austin Rivers,2012,1610612745,10.0,75.5,77.0,79.25,96.5,37.5,134.0,32.5,129.0,203.0,6.2,8.5,10.0,1.0,11.54,3.32,2018
75,203085,Austin Rivers,2012,1610612764,10.0,75.5,77.0,79.25,96.5,37.5,134.0,32.5,129.0,203.0,6.2,8.5,10.0,1.0,11.54,3.32,2018
76,203086,Meyers Leonard,2012,1610612757,11.0,83.75,85.25,87.0,108.0,32.5,140.5,30.0,138.0,250.0,5.7,9.25,11.0,19.0,11.34,3.41,2018
77,203087,Jeremy Lamb,2012,1610612766,12.0,76.0,77.25,83.0,102.0,38.0,140.0,31.5,133.5,179.0,4.5,8.75,9.25,5.0,10.98,3.25,2018
78,203089,John Henson,2012,1610612749,14.0,81.0,82.5,89.0,112.0,30.0,142.0,25.5,137.5,216.0,8.6,9.25,10.0,5.0,,,2018
79,203092,Tyler Zeller,2012,1610612763,17.0,83.25,84.5,84.0,104.5,34.0,138.5,30.0,134.5,247.0,6.4,9.0,9.75,16.0,11.13,3.4,2018
80,203092,Tyler Zeller,2012,1610612737,17.0,83.25,84.5,84.0,104.5,34.0,138.5,30.0,134.5,247.0,6.4,9.0,9.75,16.0,11.13,3.4,2018
81,203092,Tyler Zeller,2012,1610612749,17.0,83.25,84.5,84.0,104.5,34.0,138.5,30.0,134.5,247.0,6.4,9.0,9.75,16.0,11.13,3.4,2018
82,203093,Terrence Jones,2012,1610612745,18.0,80.25,81.5,86.25,107.0,34.5,141.5,29.5,136.5,252.0,7.7,9.0,10.0,12.0,11.57,3.4,2018
83,203077,Michael Kidd-Gilchrist,2012,1610612766,2.0,77.75,79.5,84.0,104.5,35.5,140.0,32.0,136.5,233.0,7.0,9.0,10.25,6.0,11.77,3.18,2018
