player_name,salary
Jakob Poeltl,"$2,947,320  "
Michael Porter Jr.,"$2,894,160  "
Justin Jackson,"$2,807,880  "
Thon Maker,"$2,799,720  "
Seth Curry,"$2,795,000  "
Cedi Osman,"$2,775,000  "
Sam Dekker,"$2,760,095  "
Troy Brown Jr.,"$2,749,080  "
Guerschon Yabusele,"$2,667,600  "
Domantas Sabonis,"$2,659,800  "
Jerian Grant,"$2,639,314  "
Zhaire Smith,"$2,611,800  "
Delon Wright,"$2,536,898  "
DJ Wilson,"$2,534,280  "
Taurean Prince,"$2,526,840  "
Dario Saric,"$2,526,840  "
Justin Anderson,"$2,516,048  "
Reggie Bullock,"$2,500,000  "
Bobby Portis,"$2,494,346  "
Dante Cunningham,"$2,487,000  "
Donte DiVincenzo,"$2,481,000  "
Rondae Hollis-Jefferson,"$2,470,357  "
Tyus Jones,"$2,444,053  "
Jarell Martin,"$2,416,222  "
TJ Leaf,"$2,407,560  "
Wayne Ellington,"$2,383,076  "
Lonnie Walker IV,"$2,357,160  "
John Collins,"$2,299,080  "
Denzel Valentine,"$2,280,600  "
Larry Nance Jr.,"$2,272,391  "
Kevin Huerter,"$2,250,960  "
Harry Giles,"$2,207,040  "
Darius Miller,"$2,205,000  "
Juan Hernangomez,"$2,166,360  "
Josh Okogie,"$2,160,720  "
Raul Neto,"$2,150,000  "
Terrance Ferguson,"$2,118,840  "
Grayson Allen,"$2,074,320  "
Jarrett Allen,"$2,034,120  "
Corey Brewer,"$2,000,000  "
Torrey Craig,"$2,000,000  "
Chandler Hutchison,"$1,991,520  "
Ante Zizic,"$1,952,760  "
OG Anunoby,"$1,952,760  "
Shabazz Napier,"$1,942,422  "
Aaron Holiday,"$1,911,960  "
Tyler Lydon,"$1,874,640  "
Anfernee Simons,"$1,835,520  "
Trey Burke,"$1,795,015  "
Malik Beasley,"$1,773,840  "
Moritz Wagner,"$1,762,080  "
Nerlens Noel,"$1,757,429  "
Caleb Swanigan,"$1,740,000  "
Furkan Korkmaz,"$1,740,000  "
Landry Shamet,"$1,703,640  "
Caris LeVert,"$1,702,800  "
Jonah Bolden,"$1,690,000  "
Kyle Kuzma,"$1,689,840  "
Tony Bradley,"$1,679,520  "
Derrick White,"$1,667,160  "
Spencer Dinwiddie,"$1,656,092  "
Josh Hart,"$1,655,160  "
Robert Williams,"$1,654,440  "
Jacob Evans,"$1,644,240  "
Pat Connaughton,"$1,641,000  "
DeAndre' Bembry,"$1,634,640  "
Dzanan Musa,"$1,632,240  "
James Ennis III,"$1,621,415  "
Omari Spellman,"$1,620,480  "
Luke Kornet,"$1,619,260  "
Rodions Kurucs,"$1,618,320  "
T.J. McConnell,"$1,600,520  "
Richaun Holmes,"$1,600,520  "
Jahlil Okafor,"$1,567,007  "
Skal Labissiere,"$1,544,951  "
Jake Layman,"$1,544,951  "
Dorian Finney-Smith,"$1,544,951  "
Malcolm Brogdon,"$1,544,951  "
Dejounte Murray,"$1,544,951  "
Rodney McGruder,"$1,544,951  "
