player_id,team_id,player,year,draft_pick,height_no_shoes,height_with_shoes,wingspan,standing_reach,vertical_max,vertical_max_reach,vertical_no_step,vertical_no_step_reach,weight,body_fat,hand_length,hand_width,bench,agility,sprint,season
202692,1610612739,Alec Burks,2011,12.0,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17,2018
202692,1610612762,Alec Burks,2011,12.0,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17,2018
202693,1610612760,Markieff Morris,2011,13.0,79.75,81.25,82.75,106.5,31.5,138.0,27.0,133.5,241.0,10.2,8.5,8.25,11.0,,3.4,2018
202693,1610612764,Markieff Morris,2011,13.0,79.75,81.25,82.75,106.5,31.5,138.0,27.0,133.5,241.0,10.2,8.5,8.25,11.0,,3.4,2018
202695,1610612761,Kawhi Leonard,2011,15.0,78.0,79.0,87.0,106.0,32.0,138.0,25.5,131.5,227.0,5.4,9.75,11.25,3.0,11.45,3.15,2018
202696,1610612753,Nikola Vucevic,2011,16.0,82.25,83.75,88.5,112.5,25.0,137.5,23.5,136.0,260.0,6.1,9.25,10.25,8.0,12.02,3.27,2018
202697,1610612745,Iman Shumpert,2011,17.0,76.25,77.5,81.5,99.5,42.0,141.5,36.5,136.0,222.0,6.5,9.0,9.0,18.0,11.1,3.18,2018
202697,1610612758,Iman Shumpert,2011,17.0,76.25,77.5,81.5,99.5,42.0,141.5,36.5,136.0,222.0,6.5,9.0,9.0,18.0,11.1,3.18,2018
202699,1610612755,Tobias Harris,2011,19.0,78.5,79.75,83.0,103.5,37.5,141.0,31.5,135.0,223.0,8.4,8.75,9.0,12.0,10.96,3.17,2018
202699,1610612746,Tobias Harris,2011,19.0,78.5,79.75,83.0,103.5,37.5,141.0,31.5,135.0,223.0,8.4,8.75,9.0,12.0,10.96,3.17,2018
202702,1610612745,Kenneth Faried,2011,22.0,78.0,79.5,84.0,108.0,35.0,143.0,30.5,138.5,225.0,6.3,8.5,10.25,16.0,11.35,3.26,2018
202702,1610612751,Kenneth Faried,2011,22.0,78.0,79.5,84.0,108.0,35.0,143.0,30.5,138.5,225.0,6.3,8.5,10.25,16.0,11.35,3.26,2018
202709,1610612754,Cory Joseph,2011,29.0,74.0,75.25,77.5,99.0,35.0,134.0,27.5,126.5,186.0,9.7,8.5,10.5,5.0,10.75,3.27,2018
202683,1610612757,Enes Kanter,2011,3.0,81.75,83.25,85.5,109.5,32.5,142.0,26.0,135.5,259.0,5.9,9.5,10.75,14.0,11.3,3.26,2018
