game_id,game_date_est,home_team_id,visitor_team_id,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_team_wins
41800114,2019-04-21,1610612753,1610612761,2018,85.0,0.42,0.769,0.212,20.0,34.0,107.0,0.5329999999999999,0.889,0.393,23.0,45.0,0
41800164,2019-04-21,1610612760,1610612757,2018,98.0,0.375,0.773,0.375,23.0,44.0,111.0,0.411,0.957,0.429,16.0,49.0,0
41800124,2019-04-20,1610612751,1610612755,2018,108.0,0.4,0.774,0.316,23.0,41.0,112.0,0.5,0.762,0.308,25.0,56.0,0
41800154,2019-04-20,1610612759,1610612743,2018,103.0,0.468,0.75,0.294,23.0,46.0,117.0,0.449,0.917,0.484,25.0,45.0,0
41800103,2019-04-20,1610612765,1610612749,2018,103.0,0.385,0.75,0.306,21.0,44.0,119.0,0.488,0.875,0.368,24.0,51.0,0
41800173,2019-04-20,1610612762,1610612745,2018,101.0,0.416,0.6579999999999999,0.293,21.0,48.0,104.0,0.384,0.6759999999999999,0.333,19.0,52.0,0
41800113,2019-04-19,1610612753,1610612761,2018,93.0,0.363,0.957,0.295,19.0,42.0,98.0,0.448,0.9,0.393,26.0,43.0,0
41800133,2019-04-19,1610612754,1610612738,2018,96.0,0.42,0.7390000000000001,0.3670000000000001,20.0,40.0,104.0,0.469,0.591,0.441,23.0,45.0,0
41800163,2019-04-19,1610612760,1610612757,2018,120.0,0.481,0.795,0.517,27.0,37.0,108.0,0.47,0.75,0.387,18.0,41.0,1
41800123,2019-04-18,1610612751,1610612755,2018,115.0,0.406,0.8290000000000001,0.205,12.0,43.0,131.0,0.479,0.857,0.407,26.0,54.0,0
41800153,2019-04-18,1610612759,1610612743,2018,118.0,0.494,0.7190000000000001,0.389,24.0,45.0,108.0,0.519,0.529,0.517,31.0,37.0,1
41800143,2019-04-18,1610612746,1610612744,2018,105.0,0.3720000000000001,0.8240000000000001,0.219,21.0,43.0,132.0,0.5479999999999999,0.833,0.429,35.0,50.0,0
41800132,2019-04-17,1610612738,1610612754,2018,99.0,0.476,0.889,0.393,22.0,48.0,91.0,0.444,0.6,0.382,23.0,36.0,1
41800102,2019-04-17,1610612749,1610612765,2018,120.0,0.522,0.7140000000000001,0.423,32.0,54.0,99.0,0.374,0.765,0.333,23.0,43.0,1
41800172,2019-04-17,1610612745,1610612762,2018,118.0,0.475,0.833,0.405,17.0,46.0,98.0,0.398,0.667,0.211,27.0,48.0,1
41800112,2019-04-16,1610612761,1610612753,2018,111.0,0.483,0.941,0.314,25.0,42.0,82.0,0.37,0.542,0.265,17.0,45.0,1
41800152,2019-04-16,1610612743,1610612759,2018,114.0,0.483,0.6920000000000001,0.417,29.0,41.0,105.0,0.453,0.88,0.278,20.0,50.0,1
41800162,2019-04-16,1610612757,1610612760,2018,114.0,0.467,0.81,0.406,17.0,44.0,94.0,0.407,0.679,0.179,21.0,47.0,1
41800122,2019-04-15,1610612755,1610612751,2018,145.0,0.561,0.813,0.391,29.0,49.0,123.0,0.478,0.759,0.417,20.0,32.0,1
41800142,2019-04-15,1610612744,1610612746,2018,131.0,0.5329999999999999,0.889,0.393,31.0,38.0,135.0,0.565,0.8059999999999999,0.452,34.0,34.0,0
41800131,2019-04-14,1610612738,1610612754,2018,84.0,0.364,0.818,0.35700000000000004,18.0,55.0,74.0,0.333,0.5710000000000001,0.222,22.0,42.0,1
41800161,2019-04-14,1610612757,1610612760,2018,104.0,0.419,0.778,0.44,14.0,48.0,99.0,0.398,0.87,0.152,18.0,49.0,1
41800101,2019-04-14,1610612749,1610612765,2018,121.0,0.489,0.6920000000000001,0.349,31.0,54.0,86.0,0.38,0.615,0.29600000000000004,22.0,46.0,1
41800171,2019-04-14,1610612745,1610612762,2018,122.0,0.505,0.917,0.366,25.0,42.0,90.0,0.39,0.852,0.259,17.0,41.0,1
41800121,2019-04-13,1610612755,1610612751,2018,102.0,0.407,0.69,0.12,20.0,50.0,111.0,0.4320000000000001,0.923,0.423,15.0,45.0,0
41800111,2019-04-13,1610612761,1610612753,2018,101.0,0.455,0.643,0.333,23.0,45.0,104.0,0.4,0.9,0.483,19.0,48.0,0
41800141,2019-04-13,1610612744,1610612746,2018,121.0,0.489,0.85,0.467,31.0,54.0,104.0,0.4,0.773,0.3670000000000001,24.0,40.0,1
41800151,2019-04-13,1610612743,1610612759,2018,96.0,0.42,0.667,0.214,25.0,46.0,101.0,0.482,0.7,0.467,20.0,47.0,0
21801220,2019-04-10,1610612737,1610612754,2018,134.0,0.417,0.816,0.415,29.0,61.0,135.0,0.459,0.846,0.4,22.0,43.0,0
21801221,2019-04-10,1610612751,1610612748,2018,113.0,0.377,0.857,0.362,29.0,68.0,94.0,0.388,0.667,0.195,22.0,54.0,1
21801222,2019-04-10,1610612766,1610612753,2018,114.0,0.526,0.889,0.276,21.0,32.0,122.0,0.545,0.75,0.3670000000000001,24.0,39.0,0
21801223,2019-04-10,1610612752,1610612765,2018,89.0,0.403,0.72,0.3,23.0,33.0,115.0,0.482,0.95,0.424,25.0,56.0,0
